conceptType,conceptUri,code,preferredLabel,greenShare
ISCO level 4,http://data.europa.eu/esco/isco/C7544,7544,Robotnicy zajmujący się opryskami roślin i innymi metodami zwalczania szkodników i chwastów,0.12403993855606751
ISCO level 3,http://data.europa.eu/esco/isco/C811,811,Operatorzy maszyn i urządzeń górniczych i pokrewni,0.027023165783120605
Occupation,http://data.europa.eu/esco/occupation/4542ff68-f809-4ba1-857c-fd26d0914eaa,8111.1,operator maszyn do odwadniania,0.0588235294117647
Occupation,http://data.europa.eu/esco/occupation/364e61ab-1631-4fe1-a170-e88797aad6f9,8111.2,wiertacz,0.105263157894736
Occupation,http://data.europa.eu/esco/occupation/4a215d87-8363-4db2-a661-3c0d816b2a70,8111.3,górnik pracujący na powierzchni,0.0714285714285714
Occupation,http://data.europa.eu/esco/occupation/425f4904-3a7a-4ad0-ac5b-42b38392f768,8111.4,operator ciężkiego sprzętu górniczego,0.0
Occupation,http://data.europa.eu/esco/occupation/4cdfac8c-b000-4279-985e-31bc1fbe2447,8111.5,górnik pracujący pod ziemią,0.0714285714285714
ISCO level 4,http://data.europa.eu/esco/isco/C8111,8111,Górnicy i robotnicy obróbki kamienia,0.061388766032728706
Occupation,http://data.europa.eu/esco/occupation/bcb7efae-2374-4ea7-a8e7-a77e4c6ecfc8,8112.1,operator kruszarki do surowców mineralnych,0.0
Occupation,http://data.europa.eu/esco/occupation/66d22b81-1b5e-42a1-b904-ac67b4a896c6,8112.2,operator sprzętu do przetwórstwa surowców mineralnych,0.0526315789473684
Occupation,http://data.europa.eu/esco/occupation/610bee9f-d7f0-4b18-918e-f2a4a91f8912,8112.3,wiertacz w kamieniu,0.064516129032258
Occupation,http://data.europa.eu/esco/occupation/3e9c6f2a-dc20-4366-aeb9-99dffd635b4c,8112.4,operator sprzętu do obróbki kamienia,0.0263157894736842
ISCO level 4,http://data.europa.eu/esco/isco/C8112,8112,Operatorzy maszyn i urządzeń do przeróbki mechanicznej kopalin,0.035865874363327645
Occupation,http://data.europa.eu/esco/occupation/41d4be58-3111-48b5-814a-83117983dd16,8113.1,pracownik wiertni,0.0
Occupation,http://data.europa.eu/esco/occupation/622b1d5e-bf14-4ec0-b83e-3bfcf8dff624,8113.2,główny wiertacz,0.0434782608695652
Occupation,http://data.europa.eu/esco/occupation/d3c1c718-a093-4e2e-80a0-2bd331266a8b,8113.3,mechanik wieży wiertniczej,0.0
